x;y
1,028755711;-0,054257402
0,849990513;-0,300463293
-1,429856267;0,510163493
1,152056537;0,404518606
0,075773128;-0,477284215
1,328368437;0,526367554
-1,069716292;-0,352938027
-0,186204422;-0,420325698
-0,243691727;-0,581822768
-1,311174458;0,102389379
0,084480822;-0,721619973
1,272620218;-0,083473002
-0,639678955;-0,614688961
-0,560457822;-0,518132539
1,462404534;0,402084467
1,441160686;0,408230001
0,920265968;0,028478072
-0,4634807;-0,76893565
-1,201120529;-0,088927547
0,964469489;-0,524494274
-0,814643687;-0,43617915
0,082205319;-0,76686668
1,031839265;0,378058349
-1,341466889;-0,043250758
-0,994957612;-0,184449499
-0,587955307;-0,263710259
1,317630713;0,031085435
-0,224941927;-0,827485161
1,226717548;0,06566499
1,249660689;-0,191614931
1,356264201;0,102950402
-0,611813471;-0,723591566
-1,293655267;0,29310112
1,020448394;-0,051004562
0,667172849;-0,508339574
0,37436131;-0,534282979
1,045524453;-0,338726066
-0,797116574;-0,041391726
0,487518464;-0,368285224
-0,907243566;-0,239364744
-0,294022944;-0,582937679
-0,671525275;-0,319908041
1,201416311;0,127905323
1,104777992;0,192711657
-0,499098268;-0,796979819
0,243007304;-0,727552533
0,389422752;-0,522214212
-1,273766568;0,504588783
0,540114836;-0,683948066
0,666675452;-0,314836486
-1,157387344;0,155038174
-0,997267385;0,297440197
0,533209625;-0,7112297
-0,542897126;-0,411696319
-0,442044158;-0,337943704
-1,291733837;0,214741967
0,786642683;-0,158608828
-0,218386865;-0,620593313
-0,616023364;-0,202139547
0,000233192;-0,843244802
-1,063160982;0,214880319
0,890192222;0,056337223
-0,552156823;-0,238431341
1,39134499;0,420235307
-1,086985824;0,547859737
0,98271286;0,399958475
-1,211002761;-0,163977083
1,156373609;-0,348703846
0,165268645;-0,688198176
-1,324291475;-0,08076255
-0,972151188;-0,210923421
0,776930626;-0,633574845
-0,380127653;-0,811148285
-0,899196321;-0,564437615
-1,077029597;0,517435546
1,271218997;-0,020189824
0,94659733;-0,250058116
-0,981212254;0,199395269
-0,166040425;-0,607167264
0,694688059;-0,398064733
1,209366888;0,335150076
-1,17601801;0,515754527
0,121627045;-0,440885506
-1,264198053;0,444329465
-1,098422998;0,154614964
1,130826003;0,00123206
0,645769707;-0,322091482
-1,254986705;0,275522533
0,180416625;-0,574280123
-0,327226063;-0,550173461
-1,181067948;-0,255310067
0,663200131;-0,448504897
-1,338187779;0,082424847
0,740270065;-0,373202241
0,015477915;-0,762313833
-1,464059199;0,396874202
-0,954812646;-0,060367852
-1,002737313;0,092035639
-1,105272349;0,129340842
0,309982632;-0,392909138
-1,257164756;-0,032233014
0,809385772;-0,091983201
1,009029455;-0,260512439
0,005689415;-0,493081177
-0,602863561;-0,500306392
0,700982163;-0,505258331
0,803415612;-0,3370511
-1,045734746;0,16696215
1,247301701;0,073325889
-0,654335614;-0,661256345
-0,183342721;-0,619546304
1,116139213;0,441918703
0,712106537;-0,301079916
1,137947073;0,431552619
1,48543877;0,434607285
-0,96322475;-0,26024729
-0,080488444;-0,800146907
-1,476765864;0,430502315
-1,127285105;0,157427393
0,088919478;-0,699830776
0,029938014;-0,690777923
0,433633065;-0,533607865
0,344676232;-0,767718076
-0,363080942;-0,570303954
1,058336378;0,374372016
0,085889397;-0,49966913
1,287691106;0,404488222
-0,727403652;-0,406229745
0,581266448;-0,581048997
-0,938337301;0,137020455
-1,108377414;0,377108467
-0,683494173;-0,55159306
-1,075963121;0,107009425
0,054530619;-0,657669364
-0,996135751;-0,295189576
0,905953538;-0,301051321
-1,046633567;0,432359266
-0,360479684;-0,344171654
-0,927150926;-0,013989109
0,3678596;-0,795831632
1,367067537;0,164181144
0,850437018;-0,288866077
0,792488875;-0,463138255
-1,020568755;0,436025924
-0,527152205;-0,460588139
-0,231700044;-0,432388097
1,38968849;0,050917302
0,267480007;-0,821956989
-1,249240285;0,255414567
-0,41477261;-0,339998909
-0,227067272;-0,832061278
0,92363402;-0,543501766
0,587066911;-0,27661534
1,392176762;0,588563335
1,421229896;0,552780029
1,394740021;0,225522812
-1,414728425;0,148912456
0,287280309;-0,396344966
1,002891772;0,044851965
-1,023744265;0,531552532
0,385552685;-0,633085506
-0,206851372;-0,472867586
-1,303147822;0,446718404
0,800831186;-0,439163542
-0,001401475;-0,736322574
1,223088512;0,247838116
1,042478187;0,459557005
-0,869717878;-0,454690756
0,910837079;-0,41762501
-0,800635238;-0,148523385
0,378612331;-0,698890685
-0,207207937;-0,568668553
1,231667382;-0,164878767
1,197420347;-0,116947293
1,433910971;0,372360219
1,059922695;-0,130131198
0,387237452;-0,707749145
-1,283284427;0,128890833
0,357549398;-0,628165405
-0,915211541;-0,259467078
-0,265361987;-0,552696419
1,003241426;0,337144541
1,34629565;0,307845064
0,945882408;-0,441124547
1,4105042;0,294624384
-0,506188939;-0,629121784
-0,729384377;-0,102445741
0,472910343;-0,573774812
-0,286332095;-0,464150991
-0,760989218;-0,31997536
-0,488807335;-0,549635763
-1,140109383;0,342947705
1,077363433;0,091726191
-1,45626289;0,593091877
-1,295829704;0,323048413
-0,745271582;-0,619352073
0,921940435;-0,070893132
-0,214140613;-0,660992044
0,766293786;-0,446505924
0,133407393;-0,74641097
0,983273314;0,104922843
-1,208852234;-0,002989211
-1,249906188;0,22875401
-0,982073029;-0,308179126
-1,018674399;0,470601662
-1,097875705;-0,373532208
-1,065877987;-0,41348328
0,449220014;-0,611008207
-0,825327398;-0,347485196
-0,947294535;-0,5058995
-0,960959284;0,135674081
-0,879235499;-0,063292853
-1,383747748;0,587145902
-0,884222809;-0,392176029
-0,640518011;-0,693714167
-0,342302385;-0,619786206
-0,999065974;-0,012800567
0,103150504;-0,865718543
-1,085637138;-0,221100517
0,336341516;-0,781554999
-0,835333709;-0,253941042
-0,924831734;0,023066614
1,08925817;-0,411772136
-0,647819837;-0,162865774
0,468564243;-0,652471792
-0,24669593;-0,838366896
0,224213346;-0,692115809
1,028933802;-0,17752514
-1,356862544;0,058449713
0,363294139;-0,722913284
-0,887000275;-0,241626941
-1,13992298;0,116046719
0,214045262;-0,867662394
0,8655339;-0,08823073
-0,766085843;-0,215572187
1,30435942;0,311414457
-0,077502849;-0,605715644
0,303310021;-0,735824778
0,962223174;0,20110105
0,779350844;-0,286871311
1,128071676;0,300010822
-0,413622356;-0,365143294
1,345670425;0,439970944
0,487411765;-0,716460617
-0,488751318;-0,592072453
0,820830726;-0,342792941
-0,783803984;-0,068475586
0,601370158;-0,269497778
0,047379018;-0,682704913
1,117119973;0,222082314
-1,300571831;0,098318261
-1,307566904;0,515542872
-0,931411992;-0,010098996
-1,132338682;0,483918246
-1,054353619;-0,394044455
-1,356838447;0,010267483
-0,820471825;-0,281171692
-0,525841593;-0,403983692
-0,847666203;-0,518735314
0,970152131;-0,129420401
-0,689946156;-0,217701189
0,126290163;-0,722255792
0,922303005;-0,330852895
-0,299799237;-0,560465399
-0,957256153;-0,058681663
0,851049549;-0,139214701
-0,904008538;-0,453277509
0,655901946;-0,211917606
1,010865615;-0,038741096
0,847678018;-0,547561872
-0,698957034;-0,271249685
0,613916907;-0,729198708
-1,358674228;0,309855112
0,737333897;-0,321432698
0,159201674;-0,52103297
-0,100927183;-0,503543933
-0,009145431;-0,406121767
1,013129421;-0,246064308
-0,014860149;-0,770385112
-0,958890459;0,308870625
-1,359607285;-0,005949545
0,683431834;-0,659413864
-0,161273065;-0,443109583
-0,961893401;-0,050318394
-1,034034431;0,596743779
-1,394733586;0,467570472
0,034625272;-0,861820695
-1,298318299;0,210232913
-1,070305817;0,579367405
0,121018215;-0,55644067
1,357454177;0,187016479
-1,137992876;-0,192437214
-0,824518999;-0,41802037
1,063017183;0,084597883
-0,381271519;-0,381586848
0,983521481;-0,064221289
1,483312764;0,378204735
-0,946688733;-0,137804792
-1,370186049;0,535455405
1,088201852;0,253115186
1,128211686;0,49119345
0,907965626;-0,198581421
-1,028257555;0,101564009
1,39319311;0,079461718
1,053596005;0,300987335
-0,260118303;-0,499268551
1,33965241;-0,038261116
-0,204473648;-0,57384749
-1,333281398;0,261026487
1,250991076;0,260458172
-1,179271486;0,07688701
0,046187254;-0,484102874
-1,25409666;-0,166292508
-0,517044289;-0,298247401
0,269341614;-0,638205219
-1,044743024;0,382056927
1,097452806;-0,197560876
-0,262031815;-0,728723841
-1,158102013;0,175993583
-1,303984197;0,477673053
-0,398170197;-0,589625631
-1,444460719;0,492643119
1,204128661;0,016332941
0,189745841;-0,447846779
-1,27353808;-0,089505167
0,077047585;-0,843544203
1,069595735;-0,068816415
0,26417261;-0,849647616
1,106085751;-0,2016072
-0,534847012;-0,353832902
-0,731222062;-0,260739761
1,184667569;-0,181235799
1,154227542;0,145980323
-1,080429372;-0,209721466
0,679588343;-0,14508933
1,288505772;-0,123399837
-1,237341364;0,018772315
-1,324733073;0,009507361
0,324846272;-0,376391179
-0,639648474;-0,328481021
-0,137827339;-0,620956591
0,831382515;-0,505419129
0,354139652;-0,485349364
-0,313222802;-0,559905306
-1,159300354;0,045527071
0,897819744;-0,597583796
-1,327932842;0,434343837
1,478602521;0,448349503
-0,462723739;-0,504978267
1,414114189;0,334906686
-0,091885291;-0,575606307
-0,845771509;-0,306121285
0,008344677;-0,778692605
-1,027905598;-0,475125101
1,165634105;0,02965139
1,112755082;-0,214206667
-0,805467528;0,001317247
-0,446923555;-0,766992194
0,477623369;-0,53942719
1,306833871;0,234304924
0,453690912;-0,587531252
-1,06520377;0,13760321
0,381039907;-0,402400026
