"x","y_less_noise","y_more_noise","y_true"
1,-0.160194244445736,0.457725918486064,-0.0740913022073031
2,-0.205167752076376,-0.384188426698074,-0.0770879206966456
3,-0.269926739378554,0.333121815046554,-0.0801713005471553
4,-0.116389624255803,-0.148155468206073,-0.0833307822553751
5,-0.200104617513464,-0.492648790197946,-0.0865674800216089
6,-0.0169947941418359,0.0300366838358587,-0.0898866980789653
7,-0.0171771397787951,-0.0122791641952282,-0.0932991520249914
8,-0.0502573652395874,-1.26856746207424,-0.0968133364844139
9,-0.128438751094269,0.231696527150149,-0.100430280876083
10,-0.0451898941130266,0.270422457492751,-0.104138393510087
11,0.0580132951883123,-0.177798784211778,-0.10792442825404
12,-0.290673864824295,-0.528698198800999,-0.111770140631625
13,-0.219947431170801,-0.257835624233117,-0.115678453214922
14,-0.262931061133093,-0.156818557950038,-0.119659620187016
15,-0.125707746035202,-0.157413088094951,-0.123713645989115
16,-0.232421282601556,-0.68893448107931,-0.12784310531015
17,-0.117786511174705,-0.725735506369918,-0.132045135412238
18,-0.229411967756865,-0.287777656558749,-0.136314248217443
19,-0.10847858520064,0.149164836043984,-0.14064099581906
20,-0.0430517052240631,-0.760861773585304,-0.145012427530703
21,-0.214424348957486,0.669535897514653,-0.149425179044593
22,-0.226501262774054,-0.178093093465021,-0.153873493760895
23,-0.109047047415851,-0.154577959924176,-0.158364529582673
24,-0.15268521035515,0.121715018876945,-0.162898982956448
25,-0.37576040271602,-0.324712095220811,-0.167473166267095
26,-0.123393159492081,-0.488584077048697,-0.172086764514814
27,-0.122332779262754,0.215230977606852,-0.176742456231039
28,-0.178831509463722,-0.1579105411096,-0.181419132482619
29,-0.238035169729258,-0.437253581739126,-0.186101082823245
30,-0.231318319609613,-0.216748188699642,-0.19078239052038
31,-0.251583548010864,-0.722351576244554,-0.19546034359827
32,-0.381510799165828,0.139961464189473,-0.200130589795563
33,-0.124846004204729,0.117045950538774,-0.204785300411799
34,-0.0629027601747668,-0.410391309515588,-0.20942666344203
35,-0.309733557862922,-0.256601134492028,-0.214058273549816
36,-0.116569210406285,0.123065886312148,-0.218688705623137
37,-0.303618150762952,-0.109999568206863,-0.223305606049505
38,-0.16259686257026,-0.667114030566697,-0.227887189829727
39,-0.294561006226417,-0.732544909533619,-0.232420309628942
40,-0.348902013825889,-0.837015333222849,-0.236891561132407
41,-0.25678190203596,-0.552273649863687,-0.241299037061048
42,-0.248960061287681,-0.457321787962437,-0.245657840637179
43,-0.242979670402698,0.613330494335297,-0.249979326761103
44,-0.117396923514894,-0.194969272393547,-0.254270719053883
45,-0.346114547199226,-0.402376782130112,-0.258536464700926
46,-0.316518725075545,-0.150226090044244,-0.262774795217937
47,-0.0575390224772841,-0.416055057100829,-0.266982132534926
48,-0.238747510120025,-0.910305495552999,-0.271154814598911
49,-0.20082856740233,-0.541123469349705,-0.275296090668322
50,-0.207597911412221,-0.376120341635207,-0.279409184080116
51,-0.188892542302948,-1.06641426362505,-0.283491816063164
52,-0.363635894220786,0.228924188880152,-0.287546482191704
53,-0.335968144192157,0.250505746573496,-0.291582574593359
54,-0.206771910951752,-0.438105688039393,-0.295598733944949
55,-0.444783910711415,0.0656634371833305,-0.299581773117092
56,-0.153860691836801,0.470621076281755,-0.30352566630806
57,-0.409487006322914,0.429709675567339,-0.307417275369552
58,-0.200621670029022,-1.01055630482771,-0.311235801894299
59,-0.557391187927497,0.0997202683207772,-0.31497816444529
60,-0.420102007337207,-0.176099581898552,-0.318638590277323
61,-0.255049502357412,-0.473669347761504,-0.322214366579756
62,-0.271970763380379,-0.880515360804915,-0.325696804160608
63,-0.316057782160529,0.370381323705686,-0.329072879850832
64,-0.408959428243928,0.0254304167157545,-0.332348863554922
65,-0.471104239821055,0.140880507599072,-0.335535241848236
66,-0.37479799164015,0.181429065217396,-0.338641330227432
67,-0.352794400067636,-0.434939284921854,-0.341666419289143
68,-0.512618758973054,-0.622866371457139,-0.344618233390064
69,-0.358596820450778,-0.652056059959977,-0.347503063279881
70,-0.382409694600639,-0.092961650236569,-0.350313878322068
71,-0.336555493184954,-0.273514320612595,-0.353054154602146
72,-0.220672623955562,-0.494372445057381,-0.355737732696701
73,-0.361087924328866,-0.674127355279101,-0.35837777271079
74,-0.324629577250387,-0.409492635470601,-0.360990888313682
75,-0.241061931613506,-0.0187107623878342,-0.363579713465831
76,-0.416627537949216,0.150176939616525,-0.366144521920487
77,-0.236166670446805,-0.658720663760257,-0.368679905503325
78,-0.304424877909651,0.131030483782084,-0.371185695077303
79,-0.320048365599716,0.181964178194807,-0.373655034996515
80,-0.414939727658175,-0.235603584273714,-0.37610316791768
81,-0.533611531778634,-0.351994095485574,-0.378521630687443
82,-0.505375230644572,0.223610867695289,-0.380893026998241
83,-0.341231526604194,-0.547756754983252,-0.383214827233392
84,-0.359292422467522,-0.579978401254382,-0.385500718854523
85,-0.366097048104118,-0.94338505897623,-0.38775210931775
86,-0.402291279289645,-0.424261720400369,-0.389971196432097
87,-0.394612911657279,-0.432542635870778,-0.392156394762175
88,-0.379597384895445,-1.42857302716319,-0.394315429153038
89,-0.460683948973623,0.238960021031051,-0.396457791666358
90,-0.451755841638104,-0.25996994042516,-0.398587417944354
91,-0.161224914625284,-0.108232907980044,-0.400711376008931
92,-0.253308405214719,-0.6018701628428,-0.402834870619972
93,-0.422820360244613,-0.120893082543944,-0.404943512307714
94,-0.328916942094095,-0.056013744085079,-0.407031222886262
95,-0.426094059404363,-0.372475143180893,-0.409092895783981
96,-0.230606416997374,-0.257002241886095,-0.411124464996202
97,-0.35810167252461,0.0745729549076723,-0.413121255738904
98,-0.372555232869765,-0.183693642168175,-0.415087235410209
99,-0.524065451909802,-0.391937458702543,-0.417023616664164
100,-0.49785787157603,0.190256772416047,-0.418924199458937
101,-0.496476546046383,-0.00739618273319198,-0.420786778819697
102,-0.4712839096538,0.0830000490888854,-0.422619646768902
103,-0.6138991893818,0.0190717846428771,-0.424423007426809
104,-0.427215010109753,-0.314919798727731,-0.426201166882501
105,-0.515124055151111,-0.809313195439998,-0.427950379635578
106,-0.432325417447499,0.0965125205714402,-0.429663758636538
107,-0.491032939887938,-0.672532873152783,-0.431337542204874
108,-0.334512944253309,-0.19519207153836,-0.432968173993422
109,-0.325910500142307,-0.230448891400597,-0.434557608009369
110,-0.418103923399264,-0.126369663792601,-0.436115726361974
111,-0.467157709161314,-0.831983018530024,-0.437642704919528
112,-0.472373601370269,-0.0110463179513414,-0.439124850615348
113,-0.54755064563544,-0.383245334755401,-0.440556156018333
114,-0.464576992427358,-0.0154714658945417,-0.441936946318204
115,-0.26069716640235,-0.233082881630701,-0.443272917198079
116,-0.343633110062798,-0.663299510998499,-0.444572238593266
117,-0.579366486393426,-0.215391407690548,-0.445828225315586
118,-0.544751337616955,-0.250728740316415,-0.447055614248741
119,-0.336367996638248,-0.423248617469964,-0.448273034562409
120,-0.321622531001029,-0.48612487981303,-0.449483330147582
121,-0.451928117113457,-1.13454011664331,-0.450675802012322
122,-0.547389562674328,-0.661912508980071,-0.451856565504589
123,-0.375221950659362,-0.989810972884198,-0.453037688046275
124,-0.23570277008606,-0.0607802344031439,-0.454227913642629
125,-0.572635105598366,0.778539324565024,-0.455420364093007
126,-0.455423259000626,-1.0104601869235,-0.456605446328652
127,-0.422345038105544,-1.43075443901118,-0.457786769037253
128,-0.575470231150485,-0.318300587598716,-0.458954928792301
129,-0.403879360529419,-1.18515190692189,-0.460102446445324
130,-0.634325964190939,-0.494130679968791,-0.461228094674993
131,-0.370972812336792,-0.979827528614038,-0.462338591687899
132,-0.381270393409739,-0.183357858818606,-0.463435070017093
133,-0.574587257296129,0.683292495652607,-0.464514035295519
134,-0.513611130909333,-0.64949692806287,-0.465565028034757
135,-0.491802884472044,-0.0688103875192179,-0.466585054041853
136,-0.405780523478016,-0.613618932812543,-0.467574236365219
137,-0.584122582870498,-0.633427648210203,-0.468536097575105
138,-0.500401322990253,-0.0105639583907728,-0.469473587466506
139,-0.506303355299142,-0.520165494630908,-0.470388962100902
140,-0.420503489402999,-0.5859464735741,-0.471289080025533
141,-0.295590295999704,-0.485382170046732,-0.472180977674464
142,-0.215788343839197,-1.29751350761077,-0.473083527265862
143,-0.450691055098027,-0.341905144500464,-0.473988855191213
144,-0.420780885979568,-0.62616573889684,-0.474877432706111
145,-0.54135584257555,0.368291144412165,-0.475719518714363
146,-0.546414341440019,-0.344066591673427,-0.476516400894289
147,-0.591023617848698,-0.616486365417912,-0.477271738636106
148,-0.577747294661873,-1.02386762759786,-0.477977994614213
149,-0.383056904965193,-0.472620592978066,-0.478623731632358
150,-0.484905166623344,0.117208213606027,-0.479195707494059
151,-0.435615694293179,0.234434079879241,-0.479700563035044
152,-0.579220079351331,-0.246084100428198,-0.480142446011935
153,-0.487590995159914,-0.361351841119175,-0.480517362317243
154,-0.412950812324918,-0.466286689283382,-0.480813391284426
155,-0.624292282605934,0.0719124981405182,-0.48102767879308
156,-0.506138498280828,-0.490140689740119,-0.481168042938417
157,-0.425059303653573,-0.0253005461854092,-0.481227249109214
158,-0.697737813733852,-0.122459093958001,-0.481209197497741
159,-0.47300851752826,-0.281170966641656,-0.481126409164467
160,-0.486223739455677,-0.399028972220035,-0.48099477991527
161,-0.624321935859251,-0.369804225136736,-0.480815503491871
162,-0.4018106700703,-0.637339918363606,-0.480591526227139
163,-0.59700344496881,-0.671093333330729,-0.480316008943994
164,-0.317828017160453,-1.26962998219134,-0.4800014442888
165,-0.360470787036606,-1.18422890855145,-0.47965014146179
166,-0.672426392208482,-0.734618433569485,-0.479266365476897
167,-0.517655395926637,-0.717009957314228,-0.478847075112377
168,-0.375260145966788,-0.424559629695827,-0.478390105824693
169,-0.546471620229755,-0.513156883060699,-0.477892009146983
170,-0.428399080401723,-0.722422902202211,-0.47735060377236
171,-0.483069608512623,-0.142276239803486,-0.476759504276139
172,-0.535222112180534,-0.710599296071027,-0.476105014889182
173,-0.72152627055211,-0.745414935826065,-0.475393651878933
174,-0.433264909338141,-0.683907025313049,-0.474624205094936
175,-0.34583149767197,-0.744793753681726,-0.473802859805697
176,-0.386692496862771,-0.56018928340365,-0.472939522920947
177,-0.647733047526399,-0.655204983448554,-0.472031615282163
178,-0.386320010442588,-0.259283006398512,-0.471071590760901
179,-0.605633739475611,-0.128617626028908,-0.470048632712436
180,-0.48398934197385,-0.548473155317273,-0.468960173091985
181,-0.403166116218023,0.326848677300394,-0.467807903146069
182,-0.220479712416182,-0.680433525028582,-0.466581832307735
183,-0.537201126322744,-0.377137130132795,-0.46527261077313
184,-0.40803351679523,-0.428599882731745,-0.463877147245558
185,-0.560099464448429,-0.103799248136623,-0.462410667736642
186,-0.524497872224354,-0.435702888490592,-0.460880380571608
187,-0.520512671902787,-1.21038867145731,-0.459289514802827
188,-0.394066720564782,-0.679210434318217,-0.457638542304367
189,-0.391899844724744,-0.119781439175647,-0.455935020789672
190,-0.450369614868278,-0.0878022458502523,-0.454181473159807
191,-0.382110050713344,-0.266054827321897,-0.452383577618174
192,-0.412168895904202,-0.492698889143188,-0.450550092555644
193,-0.43882100081153,-0.377904149780218,-0.448681059761216
194,-0.476085754766305,-0.542541944685924,-0.446780487782729
195,-0.592440720993779,-0.392332627974717,-0.44485121366112
