TRANS_ID;PRODUCT
460501006077;beer
460501012887;beer
460501024170;beer
460501027300;beer
460501031413;beer
460501042389;beer
460501048299;beer
460501051084;beer
460501056195;beer
460501058663;beer
460501058663;beer
460501060017;beer
460501065883;beer
460501073017;beer
460501076704;beer
460501077336;beer
460501078876;beer
460501079866;beer
460501081241;beer
460501087588;beer
460501089377;beer
460501091622;beer
460501094807;beer
460516011585;beer
460516011585;beer
460202017150;beer
460501000969;beer
460501011309;beer
460501033967;beer
460501050155;beer
460501053682;beer
460501064299;beer
460501064299;beer
460501074502;beer
460501082934;beer
460501097181;beer
460501000136;beer
460501001638;beer
460501002727;beer
460501003533;beer
460501005148;beer
460501005469;beer
460501008521;beer
460501013228;beer
460501018520;beer
460501065579;beer
460501087908;beer
460501092353;beer
460501000990;beer
460501002178;beer
460501006664;beer
460501008552;beer
460501009689;beer
460501010555;beer
460501017257;beer
460501018902;beer
460501019954;beer
460501026525;beer
460501038207;beer
460501039150;beer
460501043782;beer
460501052487;beer
460501052944;beer
460501053361;beer
460501056355;beer
460501065883;beer
460501065883;beer
460501076704;beer
460501081593;beer
460501091622;beer
460501097174;beer
460501001362;beer
460501019473;beer
460501083894;beer
460501003991;beer
460501005469;beer
460501006749;beer
460501011309;beer
460501013945;beer
460501017844;beer
460501019435;beer
460501021650;beer
460501024637;beer
460501031529;beer
460501041344;beer
460501044475;beer
460501045212;beer
460501045212;beer
460501052111;beer
460501058809;beer
460501060017;beer
460501063049;beer
460501063315;beer
460501063742;beer
460501065579;beer
460501069164;beer
460501079866;beer
460501090106;beer
460501092667;beer
460501093121;beer
460501098348;beer
460501000310;beer
460501000334;beer
460501000969;beer
460501002352;beer
460501002727;beer
460501004240;beer
460501004912;beer
460501006343;beer
460501006459;beer
460501006732;beer
460501009689;beer
460501009849;beer
460501014256;beer
460501015758;beer
460501016120;beer
460501018520;beer
460501018971;beer
460501020868;beer
460501021391;beer
460501022558;beer
460501024965;beer
460501029359;beer
460501031376;beer
460501041023;beer
460501042860;beer
460501045441;beer
460501046103;beer
460501053682;beer
460501058113;beer
460501062202;beer
460501064183;beer
460501064633;beer
460501076704;beer
460501077206;beer
460501079286;beer
460501090106;beer
460501094203;beer
460501098317;beer
460508005622;beer
460522018240;beer
460526000494;beer
460202014197;beer
460202027074;beer
460501000136;beer
460501002192;beer
460501002192;beer
460501004875;beer
460501004875;beer
460501006480;beer
460501006794;beer
460501012993;beer
460501013945;beer
460501017691;beer
460501022251;beer
460501022688;beer
460501022688;beer
460501022732;beer
460501034728;beer
460501042259;beer
460501042907;beer
460501046325;beer
460501046325;beer
460501046790;beer
460501047605;beer
460501048572;beer
460501051121;beer
460501052487;beer
460501052487;beer
460501058670;beer
460501060833;beer
460501060833;beer
460501076704;beer
460501080510;beer
460501080510;beer
460501080770;beer
460501082781;beer
460501085140;beer
460501090106;beer
460501094340;beer
460501097075;beer
460501098348;beer
460501099680;beer
460508014020;beer
460526016549;beer
460202007588;beer
460501000990;beer
460501001454;beer
460501002178;beer
460501003298;beer
460501003298;beer
460501005445;beer
460501006374;beer
460501007913;beer
460501013068;beer
460501013945;beer
460501015758;beer
460501018100;beer
460501018254;beer
460501018964;beer
460501022732;beer
460501036999;beer
460501042921;beer
460501053682;beer
460501057413;beer
460501057772;beer
460501059301;beer
460501064299;beer
460501064633;beer
460501066880;beer
460501068785;beer
460501081593;beer
460501081593;beer
460501082491;beer
460501085058;beer
460501085355;beer
460501091295;beer
460501092032;beer
460501096467;beer
460501096894;beer
460501098577;beer
460508009903;beer
460516002477;beer
460202002194;beer
460202002194;beer
460202029658;beer
460202038117;beer
460202038490;beer
460202038490;beer
460501002932;beer
460501004240;beer
460501004622;beer
460501004752;beer
460501005445;beer
460501006343;beer
460501008552;beer
460501009689;beer
460501010593;beer
460501011057;beer
460501011101;beer
460501011415;beer
460501011415;beer
460501012528;beer
460501014140;beer
460501014485;beer
460501014843;beer
460501015000;beer
460501017257;beer
460501019152;beer
460501019688;beer
460501019954;beer
460501020837;beer
460501022770;beer
460501023104;beer
460501026648;beer
460501027935;beer
460501030188;beer
460501031376;beer
460501031604;beer
460501038207;beer
460501039815;beer
460501040064;beer
460501040064;beer
460501042839;beer
460501043782;beer
460501046868;beer
460501046981;beer
460501050759;beer
460501054757;beer
460501060017;beer
460501062585;beer
460501064633;beer
460501065579;beer
460501065579;beer
460501066217;beer
460501073017;beer
460501073079;beer
460501073796;beer
460501076230;beer
460501076230;beer
460501076575;beer
460501076704;beer
460501077206;beer
460501078210;beer
460501078241;beer
460501079996;beer
460501083689;beer
460501084686;beer
460501085201;beer
460501086581;beer
460501090106;beer
460501090724;beer
460501091578;beer
460501091622;beer
460501092308;beer
460501092612;beer
460501093121;beer
460501093411;beer
460501094708;beer
460501094869;beer
460501096467;beer
460501096702;beer
460501096702;beer
460501096863;beer
460501098577;beer
460514012768;beer
460514012768;beer
460516001159;beer
460526000494;beer
460526006601;beer
460526008971;beer
460526008971;beer
460526019915;beer
460501004622;beer
460501007517;beer
460501013945;beer
460501016120;beer
460501020288;beer
